trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
A55-A2645-4-11-3246077781,A55,3246077781,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2645,0,0
TM25-TM85-3-33-35049760591,TM25,35049760591,СЪДЕБНА ПАЛАТА,,,TM25335049760591,TM85,0,0
TM25-TM85-14-35-35049760591,TM25,35049760591,СЪДЕБНА ПАЛАТА,,,TM251435049760591,TM85,0,0
TM25-TM85-3-7-35049760591,TM25,35049760591,СЪДЕБНА ПАЛАТА,,,TM25335049760591,TM85,0,0
A55-A2645-4-19-3246077781,A55,3246077781,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2645,0,0
TM25-TM85-10-17-35049760591,TM25,35049760591,СЪДЕБНА ПАЛАТА,,,TM251035049760591,TM85,0,0
TM25-TM85-6-23-35049760591,TM25,35049760591,СЪДЕБНА ПАЛАТА,,,TM25635049760591,TM85,0,0
A55-A2645-2-3-3246077781,A55,3246077781,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2645,0,0
A55-A2645-2-5-3246077781,A55,3246077781,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2645,0,0
A55-A197-3-18-3246077781,A55,3246077781,Ж.К. ВРЪБНИЦА-2,,,,A197,0,0
A55-A2645-1-21-3246077781,A55,3246077781,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2645,0,0
A55-A2645-2-13-3246077781,A55,3246077781,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2645,0,0
A55-A197-4-18-3246077781,A55,3246077781,Ж.К. ВРЪБНИЦА-2,,,,A197,0,0
A55-A197-1-14-3246077781,A55,3246077781,Ж.К. ВРЪБНИЦА-2,,,,A197,0,0
TM25-TM85-8-21-35049760591,TM25,35049760591,СЪДЕБНА ПАЛАТА,,,TM25835049760591,TM85,0,0
TM25-TM85-13-7-35049760591,TM25,35049760591,СЪДЕБНА ПАЛАТА,,,TM251335049760591,TM85,0,0
TM25-TM85-9-3-35049760591,TM25,35049760591,СЪДЕБНА ПАЛАТА,,,TM25935049760591,TM85,0,0
TM25-TM85-2-7-35049760591,TM25,35049760591,СЪДЕБНА ПАЛАТА,,,TM25235049760591,TM85,0,0
A55-A2645-3-11-3246077781,A55,3246077781,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2645,0,0
A55-A2645-3-9-3246077781,A55,3246077781,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2645,0,0
A55-A197-1-20-3246077781,A55,3246077781,Ж.К. ВРЪБНИЦА-2,,,,A197,0,0
A55-A197-1-18-3246077781,A55,3246077781,Ж.К. ВРЪБНИЦА-2,,,,A197,0,0
A55-A197-4-20-3246077781,A55,3246077781,Ж.К. ВРЪБНИЦА-2,,,,A197,0,0
A55-A2645-4-5-3246077781,A55,3246077781,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2645,0,0
TM25-TM85-11-37-35049760591,TM25,35049760591,СЪДЕБНА ПАЛАТА,,,TM251135049760591,TM85,0,0
A55-A197-4-16-3246077781,A55,3246077781,Ж.К. ВРЪБНИЦА-2,,,,A197,0,0
TM25-TM85-1-13-35049760591,TM25,35049760591,СЪДЕБНА ПАЛАТА,,,TM25135049760591,TM85,0,0
A55-A197-3-14-3246077781,A55,3246077781,Ж.К. ВРЪБНИЦА-2,,,,A197,0,0
A55-A197-4-10-3246077781,A55,3246077781,Ж.К. ВРЪБНИЦА-2,,,,A197,0,0
TM25-TM86-12-20-35049760591,TM25,35049760591,КВ. КНЯЖЕВО,,,TM251235049760591,TM86,0,0
TM25-TM86-6-28-35049760591,TM25,35049760591,КВ. КНЯЖЕВО,,,TM25635049760591,TM86,0,0
TM25-TM86-9-6-35049760591,TM25,35049760591,КВ. КНЯЖЕВО,,,TM25935049760591,TM86,0,0
TM25-TM86-2-4-35049760591,TM25,35049760591,КВ. КНЯЖЕВО,,,TM25235049760591,TM86,0,0
TM25-TM86-14-18-35049760591,TM25,35049760591,КВ. КНЯЖЕВО,,,TM251435049760591,TM86,0,0
TM25-TM86-12-30-35049760591,TM25,35049760591,КВ. КНЯЖЕВО,,,TM251235049760591,TM86,0,0
TM25-TM86-1-36-35049760591,TM25,35049760591,КВ. КНЯЖЕВО,,,TM25135049760591,TM86,0,0
TM25-TM86-2-18-35049760591,TM25,35049760591,КВ. КНЯЖЕВО,,,TM25235049760591,TM86,0,0
TM25-TM86-6-14-35049760591,TM25,35049760591,КВ. КНЯЖЕВО,,,TM25635049760591,TM86,0,0
TM25-TM86-3-14-35049760591,TM25,35049760591,КВ. КНЯЖЕВО,,,TM25335049760591,TM86,0,0
TM25-TM86-6-32-35049760591,TM25,35049760591,КВ. КНЯЖЕВО,,,TM25635049760591,TM86,0,0
TM25-TM86-4-4-35049760591,TM25,35049760591,КВ. КНЯЖЕВО,,,TM25435049760591,TM86,0,0
A55-A2645-4-15-3246077781,A55,3246077781,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2645,0,0
A55-A2645-2-19-3246077781,A55,3246077781,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2645,0,0
A55-A2645-3-13-3246077781,A55,3246077781,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2645,0,0
A55-A2645-4-25-3246077781,A55,3246077781,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2645,0,0
TM25-TM85-3-23-35049760591,TM25,35049760591,СЪДЕБНА ПАЛАТА,,,TM25335049760591,TM85,0,0
A55-A2645-1-5-3246077781,A55,3246077781,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2645,0,0
TM25-TM85-7-11-35049760591,TM25,35049760591,СЪДЕБНА ПАЛАТА,,,TM25735049760591,TM85,0,0
A55-A2645-1-11-3246077781,A55,3246077781,Ж.К. ХАДЖИ ДИМИТЪР,,,,A2645,0,0
A55-A197-3-20-3246077781,A55,3246077781,Ж.К. ВРЪБНИЦА-2,,,,A197,0,0
A55-A197-4-2-3246077781,A55,3246077781,Ж.К. ВРЪБНИЦА-2,,,,A197,0,0
A55-A197-2-4-3246077781,A55,3246077781,Ж.К. ВРЪБНИЦА-2,,,,A197,0,0
A55-A197-2-2-3246077781,A55,3246077781,Ж.К. ВРЪБНИЦА-2,,,,A197,0,0
